"GEOID","estimate"
"36454",8
"36455",252
"36456",1528
"36460",10246
"36467",9810
"36470",51
"36471",904
"36473",102
"36474",2647
"36475",2393
"36476",16
"36477",3688
"36480",1682
"36481",443
"36482",1004
"36483",447
"36502",18113
"36505",1682
"36507",21360
"36509",2054
"36511",221
"36512",39
"36513",672
"36518",2744
"36521",6073
"36522",7339
"36523",2809
"36524",1328
"36525",1914
"36526",34565
"36527",15517
"36528",1324
"36529",209
"36530",6363
"36532",35066
"36535",33065
"36538",377
"36539",688
"36540",628
"36541",15524
"36542",14045
"36543",137
"36544",11682
"36545",9743
"36548",998
"36549",5687
"36550",179
"36551",9573
"36553",2721
"36555",806
"36556",571
"36558",3677
"36559",213
"36560",3243
"36561",6843
"36562",1362
"36564",153
"36567",13980
"36568",92
"36569",570
"36571",15474
"36572",6159
"36574",1123
"36575",21118
"36576",4198
"36578",1436
"36579",1214
"36580",5507
"36581",258
"36582",24029
"36583",898
"36584",856
"36585",1242
"36587",10317
"36590",0
"36602",932
"36603",9552
"36604",9423
"36605",27372
"36606",18787
"36607",6398
"36608",35336
"36609",23492
"36610",10728
"36611",5817
"36612",4626
"36613",13583
"36615",0
"36616",8
"36617",13306
"36618",17143
"36619",15507
"36688",237
"36693",19721
"36695",51804
"36701",20558
"36703",12927
"36720",963
"36722",441
"36723",371
"36726",4706
"36727",12
"36728",214
"36732",7706
"36736",1633
"36738",718
"36740",1276
"36742",1921
"36744",6294
"36748",2419
"36749",949
"36750",2622
"36751",632
"36752",1146
"36753",8
"36754",473
"36756",5867
"36758",1412
"36759",1831
"36761",787
"36763",316
"36765",1685
"36766",22
"36767",1476
"36768",900
"36769",2444
"36773",469
"36775",1025
"36776",1856
"36782",2685
"36783",686
"36784",7181
"36785",1074
"36786",2474
"36790",89
"36792",1396
"36793",279
"36801",25071
"36804",18535
"36830",39476
"36832",24596
"36849",4185
"36850",2612
"36852",2744
"36853",7943
"36854",15138
"36855",1638
"36856",7811
"36858",330
"36859",16
"36860",1728
"36861",3013
"36862",5868
"36863",11847
"36865",30
"36866",3581
"36867",22239
"36869",20986
"36870",19413
"36871",1175
"36874",9973
"36875",3782
"36877",12848
"36879",2521
"36901",369
"36904",3734
"36907",1597
"36908",2176
"36910",63
"36912",2069
"36913",36
"36915",654
"36916",797
"36919",1652
"36921",771
"36922",600
"36925",3001
"99501",16679
"99502",25268
"99503",12804
"99504",42341
"99505",6245
"99506",6671
"99507",37109
"99508",36560
"99510",1077
"99513",0
"99515",22950
"99516",20838
"99517",15750
"99518",10717
"99519",436
"99540",332
"99546",226
"99547",43
"99548",49
"99549",88
"99550",178
"99551",573
"99552",381
"99553",731
"99554",813
"99555",179
"99556",2599
"99557",700
"99558",105
"99559",7857
"99561",483
"99563",1037
"99564",57
"99565",69
"99566",61
"99567",8843
"99568",365
"99569",44
"99571",142
"99572",488
"99573",527
"99574",2903
"99575",75
"99576",2499
"99577",28462
"99578",549
"99579",58
"99580",78
"99581",866
"99583",56
"99585",261
"99586",332
"99587",1742
"99588",906
"99589",182
"99590",183
"99591",76
"99602",220
"99603",10597
"99604",1141
"99605",102
"99606",366
"99607",236
"99609",543
"99610",2101
"99611",15366
"99612",1147
"99613",439
"99614",511
"99615",12839
"99620",853
"99621",613
"99622",399
"99624",42
"99625",67
"99626",270
"99627",379
"99628",733
"99630",248
"99631",331
"99632",784
"99633",468
"99634",400
"99636",546
"99637",546
"99638",21
"99639",1111
"99640",138
"99641",990
"99643",231
"99644",161
"99645",30540
"99647",31
"99648",97
"99649",110
"99650",573
"99651",13
"99652",3079
"99653",134
"99654",64062
"99655",876
"99656",23
"99657",257
"99658",902
"99659",427
"99660",395
"99661",1309
"99662",605
"99663",365
"99664",4309
"99665",61
"99666",158
"99667",83
"99668",94
"99669",17014
"99670",46
"99671",615
"99672",3190
"99674",1401
"99676",1721
"99677",73
"99678",882
"99679",319
"99680",675
"99681",401
"99682",526
"99683",416
"99684",713
"99685",4505
"99686",3869
"99688",2541
"99689",649
"99690",175
"99691",143
"99692",219
"99693",318
"99694",1495
"99695",0
"99701",17258
"99702",3267
"99703",9117
"99704",52
"99705",23131
"99706",7
"99709",29288
"99712",14837
"99714",1160
"99720",226
"99721",249
"99722",185
"99723",4457
"99724",70
"99726",95
"99727",675
"99729",199
"99730",44
"99732",12
"99733",64
"99734",1314
"99736",143
"99737",4597
"99738",138
"99739",268
"99740",561
"99741",495
"99742",591
"99743",990
"99744",120
"99745",72
"99746",369
"99747",178
"99748",180
"99749",320
"99750",683
"99751",140
"99752",3372
"99753",291
"99754",58
"99755",883
"99756",45
"99757",23
"99758",177
"99759",227
"99760",504
"99761",415
"99762",4346
"99763",623
"99764",459
"99765",236
"99766",636
"99767",57
"99768",185
"99769",975
"99770",792
"99771",302
"99772",498
"99773",292
"99774",15
"99775",1180
"99776",153
"99777",214
"99778",238
"99780",1776
"99781",125
"99782",494
"99783",184
"99784",156
"99785",384
"99786",260
"99788",109
"99789",496
"99790",20
"99791",162
"99801",29968
"99820",510
"99824",2259
"99825",67
"99826",454
"99827",2590
"99829",808
"99830",585
"99832",91
"99833",3257
"99835",8640
"99836",88
"99840",1107
"99841",137
"99901",13822
"99903",0
"99918",213
"99919",605
"99921",1976
"99922",342
"99923",14
"99925",908
"99926",1654
"99927",0
"99929",2502
"85003",8499
"85004",7164
"85006",27206
"85007",14428
"85008",62340
"85009",51711
"85012",7492
"85013",21028
"85014",27623
"85015",41895
"85016",35930
"85017",42656
"85018",38473
"85019",27813
"85020",35361
"85021",43378
"85022",51920
"85023",34268
"85024",24834
"85027",37873
"85028",19334
"85029",47080
"85031",33886
"85032",73203
"85033",64832
"85034",5045
"85035",59660
"85037",54817
"85040",35204
"85041",62152
"85042",47957
"85043",38704
"85044",41746
"85045",7008
"85048",35765
"85050",32039
"85051",45313
"85053",30608
"85054",7785
"85083",19923
"85085",23700
"85086",42179
"85087",7991
"85118",13091
"85119",24255
"85120",31842
"85121",1499
"85122",58724
"85123",11265
"85128",17053
"85131",20055
"85132",39903
"85135",490
"85137",2535
"85138",38446
"85139",17939
"85140",47244
"85141",430
"85142",71423
"85143",39153
"85145",4203
"85147",3644
"85172",1991
"85173",3098
"85192",2616
"85193",6142
"85194",7948
"85201",54110
"85202",40364
"85203",39797
"85204",67924
"85205",43135
"85206",37230
"85207",49863
"85208",37109
"85209",41407
"85210",41073
"85212",37204
"85213",36916
"85215",16471
"85224",43834
"85225",70356
"85226",39157
"85233",35640
"85234",49056
"85248",35040
"85249",39618
"85250",17688
"85251",41102
"85253",18811
"85254",47185
"85255",43956
"85256",6173
"85257",33392
"85258",25755
"85259",23364
"85260",39861
"85262",11872
"85263",2907
"85264",1345
"85266",13253
"85268",25022
"85281",66833
"85282",55664
"85283",51495
"85284",19909
"85286",44885
"85295",47791
"85296",44564
"85297",33868
"85298",31593
"85301",68579
"85302",40186
"85303",35142
"85304",28113
"85305",13370
"85306",25520
"85307",11108
"85308",66706
"85309",678
"85310",20267
"85320",1207
"85321",4009
"85322",670
"85323",43968
"85324",2825
"85325",1288
"85326",63317
"85328",367
"85331",30727
"85332",1747
"85333",565
"85334",1160
"85335",35333
"85336",510
"85337",2626
"85338",50122
"85339",47958
"85340",35316
"85341",0
"85342",1637
"85343",205
"85344",10495
"85345",57351
"85346",4248
"85347",608
"85348",2537
"85349",31488
"85350",22593
"85351",28528
"85352",500
"85353",42801
"85354",7719
"85355",12998
"85356",5191
"85357",408
"85360",128
"85361",6368
"85362",739
"85363",6802
"85364",74333
"85365",50865
"85367",22897
"85371",290
"85373",19360
"85374",48430
"85375",29452
"85377",3333
"85379",47663
"85381",24997
"85382",38890
"85383",55327
"85387",10512
"85388",30817
"85390",9314
"85392",39054
"85395",30491
"85396",20905
"85501",12805
"85530",1771
"85531",323
"85533",3361
"85534",2753
"85535",0
"85536",440
"85539",4424
"85540",3380
"85541",21661
"85542",3700
"85543",3552
"85544",2763
"85545",540
"85546",20610
"85550",5239
"85551",447
"85552",6671
"85553",1791
"85554",581
"85601",723
"85602",9051
"85603",6887
"85605",540
"85606",1067
"85607",15419
"85608",4671
"85609",340
"85610",1071
"85611",1032
"85613",5309
"85614",23777
"85615",9391
"85616",5341
"85617",1128
"85618",1787
"85619",41
"85620",751
"85621",22074
"85622",6142
"85623",5190
"85624",1289
"85625",2141
"85626",1077
"85627",1350
"85629",25770
"85630",1757
"85631",3718
"85632",788
"85633",41
"85634",6569
"85635",33947
"85637",1250
"85638",1783
"85640",174
"85641",27078
"85643",8913
"85645",2480
"85646",1404
"85648",19681
"85650",15515
"85653",19244
"85654",0
"85658",11482
"85701",5234
"85704",33065
"85705",56314
"85706",55755
"85707",678
"85708",3836
"85710",54489
"85711",40403
"85712",32708
"85713",47272
"85714",15084
"85715",17550
"85716",30192
"85718",26346
"85719",48854
"85723",0
"85724",0
"85726",0
"85730",38343
"85735",10978
"85736",4445
"85737",21743
"85739",19303
"85741",34813
"85742",28442
"85743",31148
"85745",38777
"85746",45521
"85747",26714
"85748",19234
"85749",18768
"85750",24502
"85755",17087
"85756",42749
"85757",20350
"85901",18096
"85911",2209
"85912",350
"85920",448
"85922",28
"85923",620
"85924",2660
"85925",4988
"85926",421
"85927",115
"85928",1295
"85929",7416
"85930",1319
"85931",186
"85932",367
"85933",2697
"85934",246
"85935",4665
"85936",4373
"85937",8201
"85938",2322
"85939",4319
"85940",1430
"85941",11251
"85942",56
"86001",45695
"86003",26
"86004",36260
"86011",9772
"86015",312
"86016",42
"86017",880
"86018",903
"86020",1955
"86021",6160
"86022",1855
"86023",2538
"86024",737
"86025",5565
"86028",0
"86029",77
"86030",1519
"86031",1751
"86032",1818
"86033",8195
"86034",1902
"86035",2125
"86036",400
"86038",57
"86039",1179
"86040",10662
"86042",2142
"86043",2840
"86044",3165
"86045",11670
"86046",5695
"86047",15330
"86052",313
"86053",2547
"86054",1473
"86301",23087
"86303",17719
"86305",18876
"86313",249
"86314",39703
"86315",7626
"86320",2024
"86321",2128
"86322",12107
"86323",16454
"86324",4271
"86325",5554
"86326",25294
"86327",9762
"86329",1037
"86331",474
"86332",1808
"86333",7651
"86334",4913
"86335",4624
"86336",11595
"86337",1609
"86338",377
"86343",51
"86351",6552
"86401",25799
"86403",18104
"86404",17280
"86406",22802
"86409",28675
